,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
640,640,dropped,249103.1931912,249103.16830010002
641,641,dropped,dropped,249103.2024682
642,642,dropped,249103.3318182,249103.3014044
643,643,dropped,249103.3318182,249103.3014044
644,644,dropped,249103.3318182,249103.3014044
645,645,249103.33973535,dropped,249103.33536690002
646,646,249103.44542685,dropped,249103.43551965
647,647,249103.44542685,dropped,249103.43551965
648,648,249103.44542685,dropped,249103.43551965
649,649,dropped,249103.46242355002,249103.46847615
650,650,dropped,dropped,249103.5018369
651,651,dropped,249103.5929002,249103.5685058
652,652,dropped,249103.5929002,249103.5685058
653,653,dropped,dropped,249103.60093545
654,654,dropped,249103.73153545,249103.70182000002
655,655,dropped,249103.73153545,249103.70182000002
656,656,dropped,249103.73153545,249103.70182000002
657,657,249103.7395267,dropped,249103.73454099998
658,658,249103.84582695,dropped,249103.8350642
659,659,249103.84582695,dropped,249103.8350642
660,660,249103.84582695,dropped,249103.8350642
661,661,dropped,249103.86281745002,249103.86904299998
662,662,dropped,dropped,249103.90226155
663,663,dropped,249103.99309180002,249103.968009
664,664,dropped,249103.99309180002,249103.968009
665,665,dropped,dropped,249104.00203435
666,666,dropped,249104.1316358,249104.1018877
667,667,dropped,249104.1316358,249104.1018877
668,668,dropped,249104.1316358,249104.1018877
669,669,249104.13955994998,dropped,249104.13499925
670,670,249104.24614095,dropped,249104.23532765
671,671,249104.24614095,dropped,249104.23532765
672,672,249104.24614095,dropped,249104.23532765
673,673,dropped,249104.2629547,249104.26846460003
674,674,dropped,dropped,249104.30247405003
675,675,dropped,249104.3933953,249104.36857684999
676,676,dropped,249104.3933953,249104.36857684999
677,677,dropped,dropped,249104.40134345
678,678,dropped,dropped,249104.4685889
679,679,dropped,249104.53189325,249104.5016274
680,680,dropped,249104.53189325,249104.5016274
681,681,249104.53941705002,dropped,249104.53544285
